TBR,I_st[kg],I_bz[g],I_TES[g],tau_bz[s],eta_TES
1.1,11.71358297,2.930070823,1.078855187,661406.505,0.350952381
1.1,11.46490738,3.016425329,0.737982123,687052.7146,0.51324954
1.085,9.908330576,0.704451726,0.930480217,161457.9303,0.401808034
1.13,13.94010169,2.12244393,5.09732528,423156.438,0.075966692
1.095,11.23948226,1.721145419,1.570824033,384986.4774,0.239916154
1.115,13.04800179,2.638219253,3.104974578,558414.4407,0.123318935
1.11,12.4036669,2.81016402,2.075097988,612891.2139,0.183907788
1.105,12.12914157,2.939595486,1.584117964,652049.2932,0.239952526
1.085,10.15963367,1.038886038,0.895925106,238485.6665,0.417267069
1.16,16.36410339,3.209076254,7.97636628,587263.1128,0.04965443
1.09,10.79629506,2.44236559,0.416040395,566004.6754,0.90271611
1.08,9.374958922,0.601678948,0.394181224,140496.5392,0.94478719
1.08,9.554035889,0.44497405,0.758406207,102813.9969,0.490864092
1.09,10.6881181,1.876236067,0.767478045,430586.5409,0.489252638
1.11,12.25594819,3.709718412,1.130883806,829218.7802,0.33771941
1.085,9.907459826,1.264385589,0.415558964,294093.2678,0.900053846
1.095,11.1609327,2.227703643,1.021106104,505671.3368,0.369246781
1.105,11.92570114,0.914222923,3.413449345,193373.5157,0.111202755
1.095,11.11359341,2.818157818,0.483430397,649094.7392,0.780252068
1.085,10.15001529,0.961841425,0.959162317,220402.1798,0.389738837
1.1,11.39618708,1.962372995,1.566252179,437146.8926,0.241691286
1.1,11.38569971,2.666267124,0.937655354,604002.2884,0.403912146
1.135,14.4137996,3.778126035,4.034846705,769740.4102,0.096454525
1.125,13.79005914,3.928878024,2.926539753,828827.7914,0.131973293
1.09,10.4703959,2.039724256,0.398741362,472794.2179,0.942050591
1.075,9.304099813,0.510660843,0.387724372,119771.5186,0.95613454
1.08,9.557852099,0.556285284,0.647257884,128990.0208,0.575208595
1.13,14.0989493,1.15222048,6.469586325,222487.1316,0.059779543
1.11,12.38625683,3.291940429,1.626027842,726379.7092,0.234779913
1.085,10.23364193,0.961303565,1.058385055,219699.8026,0.353158571
1.095,11.26813419,3.052205222,0.459299011,703542.0897,0.82119404
1.15,15.31639822,1.159342856,8.647555748,210405.573,0.015403438
1.18,17.93795834,4.575504077,9.346117338,802883.7704,0.043023802
1.1,11.46631924,1.3816285,2.238776305,302385.9738,0.168990029
1.08,9.640509444,0.730670248,0.573573941,169858.2964,0.649115475
1.08,9.745841307,0.931163844,0.508820335,216936.4533,0.731722386
1.095,10.82714378,2.317673952,0.582367862,532262.6002,0.647745963
1.09,10.6765217,1.78504196,0.832678818,408921.5655,0.450923706
1.085,10.19490605,1.315622565,0.683526978,303833.8141,0.547008892
1.105,12.0677737,3.210711941,1.283100448,717835.9345,0.296320806
1.09,10.68381328,2.187519974,0.504320825,505668.1748,0.744692807
1.105,11.89005672,2.165672327,2.011242798,474961.1976,0.188955015
1.1,11.62339039,3.461296359,0.551545049,792455.3255,0.686775433
1.095,11.12685226,1.118554042,2.052938868,246964.9123,0.183511156
1.1,11.6401488,2.894409903,1.027601849,654220.998,0.368484596
1.095,11.24057786,2.836372155,0.602827963,651221.9375,0.625618561
1.085,10.08538869,1.415396158,0.479313599,328705.2118,0.780227435
1.13,13.96983687,2.441915135,4.774385958,490597.8976,0.081125769
1.075,9.116803582,0.280059213,0.398915939,65538.10618,0.929385971
1.075,9.110922993,0.199950307,0.477912867,46612.90253,0.775712679
1.09,10.78650997,1.998373523,0.771316962,458609.0858,0.486791632
