time[s],m_in
273,2.22158920543913e-06
274,2.22962424469703e-06
275,2.23765854102865e-06
276,2.24569209450275e-06
277,2.25372490518815e-06
278,2.26175697315357e-06
279,2.26978829846776e-06
280,2.2778188811995e-06
281,2.28584872141755e-06
282,2.29387781919058e-06
283,2.30190617458736e-06
284,2.30993378767663e-06
285,2.31796065852709e-06
286,2.32598678720743e-06
287,2.33401217378637e-06
288,2.34203681833263e-06
289,2.35006072091487e-06
290,2.3580838816018e-06
291,2.36610630046207e-06
292,2.37412797756438e-06
293,2.3821489129774e-06
294,2.39016910676978e-06
295,2.39818855901015e-06
296,2.40620726976717e-06
297,2.41422523910954e-06
298,2.42224246710578e-06
299,2.4302589538246e-06
300,2.43827469933463e-06
301,2.44628970370445e-06
302,2.45430396700268e-06
303,2.46231748929791e-06
304,2.47033027065875e-06
305,2.47834231115378e-06
306,2.48635361085162e-06
307,2.49436416982079e-06
308,2.50237398812989e-06
309,2.51038306584752e-06
310,2.51839140304219e-06
311,2.52639899978245e-06
312,2.53440585613687e-06
313,2.54241197217398e-06
314,2.5504173479623e-06
315,2.55842198357039e-06
316,2.56642587906674e-06
317,2.57442903451989e-06
318,2.58243144999833e-06
319,2.59043312557054e-06
320,2.59843406130507e-06
321,2.60643425727035e-06
322,2.61443371353491e-06
323,2.6224324301672e-06
324,2.63043040723571e-06
325,2.63842764480887e-06
326,2.64642414295514e-06
327,2.65441990174301e-06
328,2.6624149212409e-06
329,2.67040920151725e-06
330,2.67840274264048e-06
331,2.68639554467901e-06
332,2.6943876077013e-06
333,2.70237893177572e-06
334,2.7103695169707e-06
335,2.71835936335463e-06
336,2.72634847099593e-06
337,2.73433683996294e-06
338,2.74232447032407e-06
339,2.75031136214766e-06
340,2.75829751550214e-06
341,2.76628293045584e-06
342,2.7742676070771e-06
343,2.78225154543429e-06
344,2.79023474559575e-06
345,2.7982172076298e-06
346,2.80619893160479e-06
347,2.81417991758903e-06
348,2.82216016565088e-06
349,2.83013967585859e-06
350,2.83811844828048e-06
351,2.84609648298487e-06
352,2.85407378004004e-06
353,2.8620503395143e-06
